"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","10","59","17","180","0.27","20","2","0.75","0.11","3","33","3.1","41","false","3","20","375","10","99","10","99"
"1","4980","71","20","355","0.04","1","7","0.08","0.07","1.7000000000000002","20","5.4","11","false","5","280","15","10","89.1","10","99"
"1","8870","95","6","75","0.12","1","7","0.16","0.07","5.5","21","4","43","true","5","390","335","10","86.2","10","99"
"1","9260","95","6","75","0.11","1","7","0.87","0.01","6","20","1.7000000000000002","12","true","1","170","280","10","80.6","10","99"
"1","11230","77","4","465","0","1","6","0.73","0.17","5.5","19","1.7000000000000002","13","true","3","180","40","10","76.3","10","99"
"2","10","44","11","140","0.67","10","17","0.79","0.03","4.7","5","2.1","7","false","4","90","80","10","99","10","99"
"3","10","66","8","185","0.91","36","0","0.89","0.07","7.9","20","2.7","28","true","1","40","95","10","99","10","99"
"3","770","53","15","205","0.51","1","17","0.08","0.13","2.7","25","3.2","18","true","2","120","305","10","89.1","10","89.1"
"3","2090","96","15","205","0.51","1","17","0.11","0.13","2.7","25","3.2","18","true","1","90","25","10","79.2","10","89.1"
"3","2790","53","2","205","0.51","1","17","0.11","0.12","2.4000000000000004","25","3.2","18","true","1","90","25","10","76.9","10","79.2"
"3","2830","96","15","75","0.51","1","17","0.11","0.13","2.7","25","3.1","18","true","2","150","285","10","67","10","85.9"
"3","2940","96","15","260","0.5","1","17","0.11","0.13","5.6000000000000005","25","3.1","29","true","2","180","285","10","66.1","10","80.8"
"3","6210","96","15","360","0.6","1","17","0.52","0.19","8.8","30","3","44","true","2","100","290","10","53.6","10","84.1"
"3","7160","95","18","375","0.6","1","18","0.13","0.13","8.9","37","2.8000000000000003","0","false","2","250","85","10","38.7","10","99"
"4","10","48","14","110","0.26","96","7","0.79","0.12","4","59","5.4","40","true","3","100","10","10","99","10","99"
"4","990","33","14","265","0.86","1","17","0.56","0.1","4.2","11","5.300000000000001","28","true","4","360","85","10","89.1","10","89.1"
"4","1650","44","13","485","0.85","1","17","0.56","0.1","4.2","11","0.9","28","true","4","360","85","10","79.2","10","89.1"
"4","2870","49","17","55","0.29","1","17","0.56","0.1","4.9","11","0.9","28","true","4","360","285","10","67.8","10","78.6"
"4","5040","71","16","355","0.28","1","17","0.74","0.1","3","53","2","19","true","4","360","290","10","66.2","10","99"
"4","6780","49","17","375","0.1","1","17","0.49","0.08","8.5","7","2.5","23","true","3","80","95","10","61.7","10","98.4"
"4","8420","50","17","375","0.19","1","19","0.9","0.1","8.2","27","5.5","35","true","4","160","300","10","56.8","10","83.9"
"4","10280","57","17","110","0.52","1","17","0.76","0.1","9.3","19","5.4","29","false","1","90","30","10","55.4","10","82.2"
"4","10740","86","19","485","0.52","1","19","0.79","0.1","8.3","27","3.8000000000000003","3","false","1","110","325","10","53.3","10","84"
"5","10","44","11","25","0.76","82","19","0.24","0.13","8.3","14","0.4","43","true","4","340","470","10","99","10","99"
"6","10","67","4","280","0.34","19","4","0.8300000000000001","0.04","5.2","10","0.6000000000000001","13","true","3","80","350","10","99","10","99"
"6","1760","26","13","20","0.03","1","8","1","0.14","3.9000000000000004","17","4.6000000000000005","6","true","4","290","180","10","97.9","10","89.1"
"6","2210","26","13","20","0.03","1","8","0.22","0.01","3.8000000000000003","18","4.7","6","true","4","60","180","10","90.5","10","89.1"
"6","3560","38","8","260","0.92","1","8","0.96","0.14","7.6000000000000005","28","2.9000000000000004","41","true","1","390","315","10","89.6","10","91.8"
"6","4070","38","8","260","0.92","1","9","0.5700000000000001","0.07","8.600000000000001","2","3.1","27","true","1","400","335","10","89.1","10","89.1"
"6","7580","59","9","260","0.9500000000000001","1","14","0.5700000000000001","0.07","9.1","37","5.4","2","false","3","10","95","10","83","10","96.1"
"6","9750","59","14","300","0.96","1","7","0.79","0.04","9.9","45","6.5","21","false","2","400","470","10","79.4","10","99"
"7","10","78","10","85","0.86","75","19","0.37","0.16","7.9","20","5.2","21","true","4","240","235","10","99","10","99"
"7","2010","65","8","465","0.98","1","11","0.32","0.19","6.7","17","0.30000000000000004","29","true","3","260","235","10","93.4","10","99"
"7","3010","65","8","465","0.98","1","11","0.9500000000000001","0.19","6.7","17","0.30000000000000004","29","true","3","260","235","10","89.1","10","97.6"
"7","3080","65","8","465","0.98","1","11","0.32","0.19","6.7","17","0.30000000000000004","26","false","2","290","90","10","82.2","10","85.3"
"7","3590","65","8","465","0.99","1","11","0.9500000000000001","0.19","8.4","14","5.800000000000001","5","true","4","330","230","10","81.5","10","88.5"
"7","3880","65","10","450","0.99","1","11","0.85","0.03","2.6","30","2.7","3","false","3","240","315","10","79.2","10","99"
"7","3990","69","8","465","0.9","1","16","0.3","0.05","9.6","17","5.800000000000001","10","false","1","350","350","10","78.5","10","99"
"7","4510","94","0","430","0.26","1","11","0.9500000000000001","0.18","8.4","14","5.7","5","true","4","330","230","10","75.8","10","91.8"
"7","5270","76","8","410","0.97","1","11","0.32","0.19","8","17","6","1","false","3","260","490","10","73.9","10","89.1"
"7","5320","65","8","385","0.97","1","11","0.32","0.19","8","18","6","1","false","3","180","490","10","65.5","10","98.8"
"7","6890","65","8","390","0.97","1","20","0.27","0.02","9.9","13","6","41","false","5","280","350","10","61.9","10","89.1"
"7","7640","19","8","385","0.98","1","20","0.38","0.18","8.4","13","6","41","false","1","180","45","10","60","10","89.1"
"7","8290","51","14","305","0.99","1","20","0.9500000000000001","0.13","7.6000000000000005","19","6","28","true","3","50","485","10","59.8","10","77.3"
"7","8530","77","8","495","0.98","1","16","0.5","0.19","8.2","19","6","38","true","3","50","495","10","50.6","10","63.2"
"8","10","80","13","355","0.55","69","13","0.49","0.07","6.2","42","5.2","44","false","4","100","90","10","99","10","99"
"8","1440","21","3","40","0.37","1","10","0.29","0.02","1","31","0.4","10","false","3","330","115","10","89.1","10","99"
